credit_line,city,socioeconomic_level,housing_status,invoice_value,has_disability,age,dependents,gender,income,target,approved_limit,invoice_to_income_ratio,limit_to_income_ratio,age_group,income_category,default
8013,5837,1,1,8.699681400989514,2,21,0,1,1700000,4,0.0,5.11745663737228e-06,0.0,18-25,Bajo,1
8013,5360,3,1,13.130283926872064,2,20,0,1,1400000,4,13.592368256649284,9.378767534360378e-06,9.708827534158392e-06,18-25,Muy Bajo,1
8013,5001,2,1,12.185507627688162,2,22,0,1,2000000,1,14.866332532446323,6.092750767468697e-06,7.4331625496418865e-06,18-25,Medio,0
8013,5240,1,2,12.758433609325005,2,27,0,2,1600000,1,14.866332532446323,7.974016022068114e-06,9.291452025621437e-06,26-35,Bajo,0
8013,5001,1,1,9.210440366976515,2,33,1,1,1700000,1,14.914123179965662,5.417902911219767e-06,8.773008474680698e-06,26-35,Bajo,0
8013,5001,2,1,11.61509389132761,2,38,1,2,1600000,4,13.815511557963774,7.259429144936541e-06,8.63468932704653e-06,36-45,Bajo,1
8013,5147,1,1,11.317834728098054,2,47,0,2,1780000,1,14.866332532446323,6.358330544813207e-06,8.351867517179105e-06,46-55,Medio,0
8013,5250,1,1,11.828677367616988,2,30,1,2,1850000,4,0.0,6.393876202022046e-06,0.0,26-35,Medio,1
8082,5001,1,1,12.563575746452228,2,47,0,1,1000000,4,0.0,1.2563563182889045e-05,0.0,46-55,Muy Bajo,1
25,66170,3,2,12.669092570381755,2,61,0,2,1350000,1,14.866332532446323,9.384506063611623e-06,1.1012090015078747e-05,56-65,Muy Bajo,0
702,13873,2,1,10.13118073854891,2,36,0,2,3500000,1,14.77102238760702,2.8946222411219053e-06,4.2202909049474615e-06,36-45,Muy Alto,0
8013,5250,1,2,9.90353755128617,2,58,0,2,300000,1,14.866332532446323,3.301168179868124e-05,4.95542765938991e-05,56-65,Muy Bajo,0
8082,5360,2,1,12.206077645517674,2,47,0,1,2400000,1,14.731801689838347,5.085863566522545e-06,6.138248146495917e-06,46-55,Alto,0
8013,5147,1,2,8.517393171418904,2,24,0,1,1800000,4,13.592368256649284,4.731882466409132e-06,7.551311502965433e-06,18-25,Medio,1
699,20770,1,1,11.442395698779702,2,48,1,1,2500000,1,14.062371417145494,4.576956448729301e-06,5.624946316879671e-06,46-55,Alto,0
699,68547,2,1,11.79778856785821,2,20,0,1,2300000,1,15.1764873675101,5.129471060168326e-06,6.598469899582696e-06,18-25,Alto,0
8082,5001,3,1,11.70547784132952,2,30,1,1,1900000,4,0.0,6.160774568713132e-06,0.0,26-35,Medio,1
8082,5001,2,1,11.542853131211915,2,20,0,1,1400000,4,0.0,8.244889204516222e-06,0.0,18-25,Muy Bajo,1
8082,5001,2,2,12.100717685412471,2,58,0,2,1736000,4,13.815511557963774,6.970455480966008e-06,7.958239400762888e-06,56-65,Medio,1
25,66687,1,1,11.118058992371832,2,43,1,2,1500000,4,0.0,7.4120343868916304e-06,0.0,36-45,Muy Bajo,1
8013,5250,1,2,10.819798284210286,2,44,0,2,2000000,1,14.866332532446323,5.409896437156924e-06,7.4331625496418865e-06,36-45,Medio,0
702,68307,3,2,11.479658194854082,2,22,0,1,2100000,1,14.062371417145494,5.466501299215611e-06,6.6963641527530194e-06,18-25,Alto,0
8013,5837,1,2,11.266794721010012,2,34,1,2,1500000,4,0.0,7.511191473212359e-06,0.0,26-35,Muy Bajo,1
8013,5001,1,1,11.895654046104523,2,23,1,2,1900000,4,0.0,6.260867255388036e-06,0.0,18-25,Medio,1
8013,5045,1,1,11.375925205635529,2,40,0,2,1400000,1,14.866332532446323,8.125655057128909e-06,1.0618801366889255e-05,36-45,Muy Bajo,0
8013,5308,2,2,12.100717685412471,2,38,0,1,1450000,4,14.077875591662238,8.345316786272885e-06,9.708873022613253e-06,36-45,Muy Bajo,1
8013,5347,1,2,11.489124454784276,2,36,0,2,2000000,4,0.0,5.744559355112461e-06,0.0,36-45,Medio,1
8082,5001,2,2,11.51293546492023,2,23,0,2,2800000,1,14.914123179965662,4.111761197556797e-06,5.3264706619625e-06,18-25,Muy Alto,0
699,68001,1,1,11.44016120501539,2,27,0,1,1400000,1,14.978661680269909,8.171537881055363e-06,1.069903641516678e-05,26-35,Muy Bajo,0
25,17380,2,1,11.343109387696558,2,44,0,1,1900000,1,14.866332532446323,5.970054430337962e-06,7.824381425297315e-06,36-45,Medio,0
699,68547,3,2,12.092355084620854,2,39,1,1,6000000,1,15.319588176962746,2.015392178204779e-06,2.5532642706164125e-06,36-45,Muy Alto,0
699,20614,1,1,10.892991570737689,2,25,1,2,1800000,1,14.978661680269909,6.051658621710593e-06,8.3214740882199e-06,18-25,Medio,0
702,68855,2,1,11.62857288849619,2,23,0,1,1800000,4,0.0,6.46031468232306e-06,0.0,18-25,Medio,1
8013,5001,2,2,12.019279104302788,2,29,2,2,2000000,4,0.0,6.00963654733312e-06,0.0,26-35,Medio,1
8013,5045,1,2,12.014706307748982,2,25,1,2,1300000,4,0.0,9.24207466590332e-06,0.0,18-25,Muy Bajo,1
8013,5001,2,2,11.362323481066714,2,27,0,1,1870000,4,0.0,6.076105564150347e-06,0.0,26-35,Medio,1
8013,5001,1,2,10.778977123006351,2,31,1,1,2300000,1,14.077875591662238,4.68650975499852e-06,6.120812813412794e-06,26-35,Alto,0
8013,5790,1,1,11.992049873165284,2,28,0,2,1600000,4,0.0,7.495026486336748e-06,0.0,26-35,Bajo,1
8013,5172,1,2,11.23727735967387,2,30,1,1,2200000,1,14.866332532446323,5.10785102355584e-06,6.75742080682978e-06,26-35,Alto,0
8013,5837,1,2,11.897309929467154,2,36,0,2,1860000,4,13.592368256649284,6.3963997489609705e-06,7.3077209402840555e-06,36-45,Medio,1
8013,5001,1,2,11.316143863834071,2,29,0,1,2400000,1,14.866332532446323,4.715057978656705e-06,6.194302640893201e-06,26-35,Alto,0
8082,5001,2,1,12.611541086966117,2,22,0,2,2500000,4,0.0,5.04461441694068e-06,0.0,18-25,Alto,1
8082,5001,2,2,12.206077645517674,2,67,1,2,1400000,1,14.151983508870948,8.718620662069295e-06,1.0108552428798943e-05,65+,Muy Bajo,0
8013,5837,1,2,11.814939344682188,2,42,1,2,1300000,1,14.866332532446323,9.088407889441768e-06,1.1435631612934392e-05,36-45,Muy Bajo,0
8082,5001,2,2,11.007087382715277,2,47,1,1,2000000,1,14.845130332288226,5.503540939587169e-06,7.422561454863386e-06,46-55,Medio,0
699,68001,1,1,11.092138575564253,2,18,0,1,1800000,4,0.0,6.162295785149149e-06,0.0,18-25,Medio,1
8013,5001,2,2,12.675907510536026,2,24,1,1,1800000,4,0.0,7.042166926871722e-06,0.0,18-25,Medio,1
8082,5001,2,2,10.475906740307126,2,61,0,2,1800000,1,15.1764873675101,5.819944955756761e-06,8.431377186740508e-06,56-65,Medio,0
8013,5001,2,2,12.225586015309156,2,47,0,1,4000000,1,14.866332532446323,3.0563957397283543e-06,3.7165822039660297e-06,46-55,Muy Alto,0
8013,5790,1,1,12.671826632825011,2,27,0,1,1600000,4,12.765691290604371,7.919886695586447e-06,7.978552070032688e-06,26-35,Bajo,1
8013,5890,2,1,12.210408233271998,2,42,1,2,1500000,4,0.0,8.14026672867018e-06,0.0,36-45,Muy Bajo,1
702,20710,1,1,11.867679565269452,2,18,0,2,4500000,4,0.0,2.637261539557314e-06,0.0,18-25,Muy Alto,1
699,68001,1,1,11.264515386408132,2,32,0,1,2300000,4,0.0,4.897613255997772e-06,0.0,26-35,Alto,1
8013,5001,2,2,11.695255355062796,2,39,1,2,1300000,4,0.0,8.99634335286111e-06,0.0,36-45,Muy Bajo,1
8013,5001,2,2,12.899222326086994,2,30,1,1,1500000,4,0.0,8.599475817740784e-06,0.0,26-35,Muy Bajo,1
8013,5308,2,2,12.328294703023396,2,32,0,2,2000000,1,14.866332532446323,6.164144269439563e-06,7.4331625496418865e-06,26-35,Medio,0
25,17042,3,1,11.750303227512262,2,39,0,2,2700000,1,14.866332532446323,4.351962546499895e-06,5.506047046814547e-06,36-45,Muy Alto,0
8013,5001,2,1,11.44991111502672,2,19,1,1,1550000,4,0.0,7.387034663220682e-06,0.0,18-25,Bajo,1
699,20710,2,1,11.335221231911436,2,37,0,1,2500000,4,0.0,4.534086679129903e-06,0.0,36-45,Alto,1
8013,5001,2,2,11.187347667846776,2,51,0,1,1700000,1,14.866332532446323,6.5807888747399416e-06,8.744896345617634e-06,46-55,Bajo,0
8013,5837,1,2,12.96192463575598,2,61,0,2,1560000,4,0.0,8.308920722330293e-06,0.0,56-65,Bajo,1
8013,5001,2,2,12.9451917369976,2,67,0,2,2000000,4,0.0,6.472592632202484e-06,0.0,65+,Medio,1
8013,5284,1,2,15.063288550659598,2,45,1,1,1800000,4,0.0,8.368488990094783e-06,0.0,36-45,Medio,1
8013,27150,1,2,11.958943731465451,2,33,1,1,2400000,4,0.0,4.982891145239294e-06,0.0,26-35,Alto,1
702,68001,3,2,10.7988814586973,2,47,0,2,7000000,1,14.062371417145494,1.542697130857167e-06,2.0089099154622255e-06,46-55,Muy Alto,0
8013,5001,2,2,11.55766935877962,2,21,0,1,1300000,4,0.0,8.89050805251659e-06,0.0,18-25,Muy Bajo,1
8013,5172,1,2,15.134139380586614,2,46,1,2,1300000,4,0.0,1.1641636722269147e-05,0.0,46-55,Muy Bajo,1
8082,5001,3,1,11.741844307140964,2,19,0,2,1600000,4,0.0,7.338648105308037e-06,0.0,18-25,Bajo,1
8082,5001,2,2,12.04355959836804,2,55,0,2,1700000,1,13.49819642725446,7.084442655250226e-06,7.940110874790343e-06,46-55,Bajo,0
8013,5001,5,2,13.327245193637944,2,31,1,2,2000000,1,14.866332532446323,6.663619265009339e-06,7.4331625496418865e-06,26-35,Medio,0
8013,5088,2,1,12.03981733267294,2,21,0,2,2600000,1,14.866332532446323,4.630697193067595e-06,5.717818005626276e-06,18-25,Muy Alto,0
8013,5001,2,2,12.120394924280792,2,34,2,2,1800000,4,0.0,6.733548994850998e-06,0.0,26-35,Medio,1
699,68547,1,1,10.731755487016526,2,20,0,2,2600000,1,14.403297778421797,4.127596676699943e-06,5.539727784113082e-06,18-25,Muy Alto,0
8082,5001,2,1,11.002116507732016,2,26,0,2,1800000,4,14.077875591662238,6.112283553026924e-06,7.821037650346994e-06,26-35,Medio,1
8082,5360,3,1,12.221099179546796,2,34,0,1,1350000,4,0.0,9.052659353249958e-06,0.0,26-35,Muy Bajo,1
8082,5001,2,2,10.232683380186565,2,37,0,2,1400000,1,14.731801689838347,7.30905433652302e-06,1.0522707976521694e-05,36-45,Muy Bajo,0
8013,5659,1,2,8.517393171418904,2,51,0,2,6000000,4,12.765691290604371,1.419565291975602e-06,2.1276148604982518e-06,46-55,Muy Alto,1
8013,5088,2,1,11.918397239722838,2,30,0,1,1700000,1,14.866332532446323,7.010817781708856e-06,8.744896345617634e-06,26-35,Bajo,0
8013,5001,5,1,13.675482680231443,2,49,1,1,3500000,4,0.0,3.907279649414798e-06,0.0,46-55,Muy Alto,1
8013,5001,2,2,12.549382168829222,2,21,1,2,1450000,4,0.0,8.654740354544046e-06,0.0,18-25,Muy Bajo,1
8082,5088,2,1,11.392451311502354,2,34,0,2,1400000,1,14.403297778421797,8.137459410030675e-06,1.0288062493113788e-05,26-35,Muy Bajo,0
8013,5001,2,1,12.491563569167765,2,49,0,2,1450000,4,0.0,8.61486548572571e-06,0.0,46-55,Muy Bajo,1
8082,5001,2,2,12.206077645517674,2,61,0,2,4200000,4,0.0,2.9062082712641433e-06,0.0,56-65,Muy Alto,1
8013,5001,2,1,11.518480009883556,2,46,2,2,1700000,1,14.866332532446323,6.775572490771215e-06,8.744896345617634e-06,46-55,Bajo,0
8013,5001,3,2,11.280160778611965,2,30,1,2,1600000,1,14.866332532446323,7.050096080322428e-06,9.291452025621437e-06,26-35,Bajo,0
702,68276,1,1,11.209642326289796,2,37,1,2,2000000,4,0.0,5.604818360735717e-06,0.0,36-45,Medio,1
8013,5895,1,2,8.517393171418904,2,40,1,2,1800000,1,14.866332532446323,4.731882466409132e-06,8.259069040765157e-06,36-45,Medio,0
8013,5665,1,1,12.130799379300344,2,27,0,2,800000,4,12.765691290604371,1.5163480269775093e-05,1.5957094166887754e-05,26-35,Muy Bajo,1
8013,5001,1,2,9.210440366976515,2,29,0,1,1850000,1,14.866332532446323,4.978613723439347e-06,8.035851079240672e-06,26-35,Medio,0
699,68307,1,2,12.015922525341637,2,64,0,1,2500000,1,14.285514812209817,4.8063670875898195e-06,5.714203639202471e-06,56-65,Alto,0
8082,5001,2,2,12.206077645517674,2,55,0,2,1700000,1,14.062371417145494,7.180041450280132e-06,8.271978320686572e-06,46-55,Bajo,0
8082,5001,3,1,12.611541086966117,2,22,0,2,1600000,4,0.0,7.882208252973665e-06,0.0,18-25,Bajo,1
8013,5001,3,2,12.206077645517674,2,38,0,2,1680000,4,0.0,7.2655180833330896e-06,0.0,36-45,Bajo,1
8013,5001,3,2,13.19937256552952,2,41,2,1,3000000,1,14.866332532446323,4.399789388580044e-06,4.955442525667933e-06,36-45,Muy Alto,0
8082,5001,2,2,12.429220196836384,2,20,0,2,1800000,1,14.077875591662238,6.905118495398827e-06,7.821037650346994e-06,18-25,Medio,0
8013,5001,2,1,13.294004770415176,2,34,1,2,1400000,4,0.0,9.495710910503047e-06,0.0,26-35,Muy Bajo,1
699,68307,1,1,11.18795680773243,2,19,0,1,2000000,4,0.0,5.593975606878411e-06,0.0,18-25,Medio,1
702,5615,2,1,12.01348860916971,2,48,0,2,1600000,1,14.062371417145494,7.508425687965014e-06,8.788976642605533e-06,46-55,Bajo,0
8013,5837,1,2,11.331259693102329,2,46,1,1,2500000,1,14.866332532446323,4.532502064240106e-06,5.946530634366275e-06,46-55,Alto,0
8013,5172,1,2,12.57534046532645,2,40,0,2,2300000,4,0.0,5.4675369555606495e-06,0.0,36-45,Alto,1
8013,5045,3,1,12.524068089833165,2,27,0,2,1600000,1,14.866332532446323,7.827537663934687e-06,9.291452025621437e-06,26-35,Bajo,0
8082,5001,3,2,12.793862088206213,2,39,0,1,1800000,1,14.403297778421797,7.10769721139389e-06,8.001827653663412e-06,36-45,Medio,0
8013,5001,2,2,13.290854736386049,2,22,0,2,2700000,4,0.0,4.922536968092252e-06,0.0,18-25,Muy Alto,1
8013,5837,1,1,12.399536067242972,2,28,0,1,1700000,1,14.866332532446323,7.293840454942657e-06,8.744896345617634e-06,26-35,Bajo,0
25,17653,3,1,11.799561991028822,2,56,0,1,1500000,1,14.978661680269909,7.866369416439603e-06,9.985767796334742e-06,56-65,Muy Bajo,0
8082,5001,2,2,13.081837172467354,2,28,2,1,1300000,4,0.0,1.0062943930402633e-05,0.0,26-35,Muy Bajo,1
8013,5837,2,2,12.720858417547802,2,57,0,2,1300000,4,0.0,9.785268178676633e-06,0.0,56-65,Muy Bajo,1
8013,5001,1,1,12.04355959836804,2,38,2,2,1400000,1,14.866332532446323,8.60253642559401e-06,1.0618801366889255e-05,36-45,Muy Bajo,0
8013,5001,2,2,11.002116507732016,2,28,0,1,1960000,4,0.0,5.613321884903128e-06,0.0,26-35,Medio,1
702,68001,3,2,10.308985993422082,2,33,0,1,1500000,4,0.0,6.872652747179557e-06,0.0,26-35,Muy Bajo,1
8082,5001,2,2,10.684118914962529,2,65,0,1,1300000,1,14.062371417145494,8.218546689550646e-06,1.081720046149618e-05,56-65,Muy Bajo,0
8082,5001,2,2,12.273735966890268,2,44,2,2,1450000,1,14.403297778421797,8.46463965672456e-06,9.933301962151609e-06,36-45,Muy Bajo,0
8082,5001,2,2,12.301387370778713,2,71,0,2,1300000,1,14.731801689838347,9.46259839090794e-06,1.1332146428993784e-05,65+,Muy Bajo,0
8013,5147,2,1,12.332529069482732,2,40,1,1,1600000,1,14.866332532446323,7.70782585103555e-06,9.291452025621437e-06,36-45,Bajo,0
8013,5001,1,2,10.334652895494106,2,33,1,2,1850000,4,0.0,5.586295842809872e-06,0.0,26-35,Medio,1
8082,5001,3,2,12.611541086966117,2,24,1,2,1800000,1,15.319588176962746,7.006407822532386e-06,8.51087759226953e-06,18-25,Medio,0
8013,5001,2,2,11.96212671733667,2,20,1,1,1800000,1,14.866332532446323,6.64562226206356e-06,8.259069040765157e-06,18-25,Medio,0
8082,5001,3,1,11.211833885608511,2,27,0,1,1620000,4,0.0,6.920880842424487e-06,0.0,26-35,Bajo,1
8082,5001,2,2,12.611541086966117,2,20,0,2,2000000,1,14.914123179965662,6.305767390599363e-06,7.4570578614539e-06,18-25,Medio,0
8013,5837,1,1,14.510664224184843,2,33,0,1,1600000,4,12.765691290604371,9.069159471890858e-06,7.978552070032688e-06,26-35,Bajo,1
702,68001,1,1,11.550895396221858,2,18,0,2,1600000,4,0.0,7.219305110572967e-06,0.0,18-25,Bajo,1
8082,5001,2,1,12.206077645517674,2,43,1,2,1900000,1,14.062371417145494,6.424248011194559e-06,7.4012442188954075e-06,36-45,Medio,0
8013,5045,1,1,11.777249346594754,2,35,1,2,2300000,1,14.866332532446323,5.120540967849472e-06,6.4636200299244754e-06,26-35,Alto,0
8082,5001,2,1,11.407576060361786,2,30,1,1,1800000,4,13.200444161764324,6.3375387349016945e-06,7.333576015660171e-06,26-35,Medio,1
8013,5001,2,2,13.283571948757738,2,35,1,2,1800000,4,0.0,7.379758093888691e-06,0.0,26-35,Medio,1
8013,5659,1,2,14.476801679607986,2,21,0,2,2000000,4,12.765691290604371,7.238397220605383e-06,6.382842453880959e-06,18-25,Medio,1
